id,token0_symbol,token0_id,token1_symbol,token1_id
0xadafb7ecc4fa0794c7a895da0a53b153871e59b6,arte,0x34612903db071e888a4dadcaa416d3ee263a87b9,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x92dbb765f587f6e16c07c799e0db6a1f3af498b8,KTN,0x491e136ff7ff03e6ab097e54734697bb5802fc1c,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x70258aa9830c2c84d855df1d61e12c256f6448b4,TRB,0x0ba45a8b5d5575935b8158a88c631e9f9c95a2e5,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xb34daaf8832432e5619efcf8262a4f5ecfd1384a,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,KINE,0xcbfef8fdd706cde6f208460f2bf39aa9c785f05d
0x63804d757b5b7c43509fded8f7ce10cc0bac2ae0,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ASKO,0xeeee2a622330e6d2036691e983dee87330588603
0x2084c8115d97a12114a70a27198c3591b6df7d3e,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MFT,0xdf2c7238198ad8b389666574f2d8bc411a4b7428
0x8745df04862b854d0d7ee8ecf80ac4e9c109d547,MUNCH,0x944eee930933be5e23b690c8589021ec8619a301,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x6060ad7b2abb5716adc82c669353e5c5f3b9fb4d,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DOGEGF,0xfb130d93e49dca13264344966a611dc79a456bc5
0x127cadea890813125ca083280ab921d2220558c2,eSOV,0xbdab72602e9ad40fc6a6852caf43258113b8f7a5,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x80d972d2a62ba71814f4e08bd27f95e5d81d02a9,STOS,0x08c32b0726c5684024ea6e141c50ade9690bbdcc,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x92ffe72ee8a6a3df28d18d6ca01a8e17adf608f0,RYOSHI,0x777e2ae845272a2f540ebf6a3d03734a5a8f618e,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xb27c012b36e79decb305fd1e512ba90eb035a6fa,WAIF,0xb2279b6769cfba691416f00609b16244c0cf4b20,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x8979a3ef9d540480342ac0f56e9d4c88807b1cba,REPv2,0x221657776846890989a759ba2973e427dff5c9bb,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xc0fc2e4cbaf48b36948971c4afd487a90272ddfe,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,UTK,0xdc9ac3c20d1ed0b540df9b1fedc10039df13f99c
0x05cb3f8d65f91d3d518310abe678009a75d7e0cb,HINA,0xbd0a4bf098261673d5e6e600fd87ddcd756e6764,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x3452a7f30a712e415a0674c0341d44ee9d9786f9,INDEX,0x0954906da0bf32d5479e25f46056d22f08464cab,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x448a0a42f55142971bb3ea45e64528d3e4114f9e,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,stETH,0xdfe66b14d37c77f4e9b180ceb433d1b164f0281d
0xdb28312a8d26d59978d9b86ca185707b1a26725b,STBZ,0xb987d48ed8f2c468d52d6405624eadba5e76d723,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x6225f6d7ad5ea259a2227d3f39cf808f3098af6e,KEN,0x6a7ef4998eb9d0f706238756949f311a59e05745,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x3fabe3d72422db134353ae444891b891f30c8979,SOUL,0x79c75e2e8720b39e258f41c37cc4f309e0b0ff80,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x598e7a017dace2534bc3f7496124c89425b1e165,PAX,0x8e870d67f660d95d5be530380d0ec0bd388289e1,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xb6f91e2b74d0332daac6ea552d7fe99e1a94a119,BINU,0x384e12f6bc9e4f1f0c42f57a28652750a4d53c09,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x69e89f97a053f4f28aef7807cb02012aac596acf,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,FIRE,0xf921ae2dac5fa128dc0f6168bf153ea0943d2d43
